공포 확률,중립 확률,탐욕 확률,공포탐욕지수
0.1318,0.8189,0.0493,45.87
0.039,0.8964,0.0646,51.28
0.0731,0.8863,0.0407,48.38
0.0395,0.8579,0.1026,53.15
0.0254,0.9611,0.0136,49.41
0.0413,0.8901,0.0686,51.36
0.0483,0.8437,0.108,52.99
0.0375,0.8755,0.0869,52.47
0.1221,0.5617,0.3162,59.7
0.0374,0.9345,0.0281,49.54
0.0305,0.957,0.0125,49.1
0.0408,0.8624,0.0968,52.8
0.0254,0.9611,0.0136,49.41
0.0302,0.1286,0.8412,90.55
0.0423,0.7026,0.2551,60.64
0.0306,0.9056,0.0638,51.66
0.0166,0.0666,0.9168,95.01
0.0402,0.8859,0.0739,51.69
0.2787,0.5002,0.2211,47.12
0.1147,0.7904,0.095,49.01
0.0665,0.8991,0.0343,48.39
0.0343,0.1148,0.8509,90.83
0.1189,0.8279,0.0533,46.72
0.0906,0.7637,0.1457,52.76
0.042,0.863,0.095,52.65
0.0858,0.3772,0.537,72.56
0.0341,0.9477,0.0181,49.2
0.1147,0.7836,0.1017,49.35
0.0436,0.8995,0.0569,50.67
0.2757,0.1925,0.5318,62.8
0.0794,0.8528,0.0678,49.42
0.0604,0.9137,0.0259,48.28
0.0331,0.9442,0.0227,49.48
0.0492,0.9266,0.0242,48.75
0.0295,0.9538,0.0167,49.36
0.0242,0.1204,0.8554,91.56
0.0301,0.9013,0.0686,51.92
0.0279,0.1511,0.821,89.65
0.1695,0.7216,0.1089,46.97
0.0318,0.9032,0.065,51.66
0.2031,0.6452,0.1517,47.43
0.0306,0.1579,0.8115,89.05
0.0781,0.819,0.1029,51.24
0.0425,0.1694,0.788,87.28
0.039,0.854,0.1069,53.39
0.0591,0.9141,0.0268,48.39
0.0357,0.9384,0.0259,49.51
0.2049,0.7345,0.0607,42.79
0.043,0.2311,0.7259,84.15
0.0975,0.8174,0.0851,49.38
0.0783,0.8166,0.1051,51.34
0.0287,0.9518,0.0196,49.55
0.027,0.9568,0.0162,49.46
0.062,0.8933,0.0447,49.13
0.0244,0.0546,0.921,94.83
0.0372,0.9318,0.031,49.69
0.0605,0.467,0.4725,70.6
0.0354,0.9502,0.0144,48.95
0.0788,0.8618,0.0594,49.03
0.1761,0.4094,0.4145,61.92
0.1109,0.3407,0.5484,71.88
0.0201,0.0659,0.914,94.69
0.0824,0.8645,0.0531,48.53
0.0473,0.9263,0.0264,48.96
0.1616,0.6984,0.14,48.92
0.0292,0.9173,0.0535,51.21
0.0316,0.94,0.0284,49.84
0.4004,0.1626,0.437,51.83
0.0623,0.878,0.0597,49.87
0.0354,0.9502,0.0144,48.95
0.1287,0.4243,0.447,65.92
0.2207,0.7192,0.0601,41.97
0.0451,0.9326,0.0223,48.86
0.1087,0.2612,0.6301,76.07
0.6218,0.3215,0.0567,21.74
0.2607,0.6646,0.0747,40.7
0.2304,0.3692,0.4004,58.5
0.0513,0.8762,0.0725,51.06
0.0823,0.7595,0.1582,53.79
0.0214,0.0478,0.9309,95.48
0.0296,0.2608,0.7096,84.0
0.1481,0.8049,0.047,44.95
0.0408,0.9084,0.0508,50.5
0.1663,0.6458,0.188,51.08
0.0597,0.8913,0.049,49.47
0.1808,0.4701,0.3491,58.42
0.1407,0.7811,0.0782,46.87
0.0374,0.8613,0.1012,53.19
0.0828,0.8406,0.0766,49.69
0.123,0.7961,0.0809,47.89
0.1655,0.1916,0.6429,73.87
0.1498,0.1316,0.7186,78.44
0.1585,0.8,0.0415,44.15
0.1997,0.7369,0.0634,43.19
0.135,0.7907,0.0744,46.97
0.2875,0.4321,0.2805,49.65
0.2856,0.4665,0.2479,48.11
0.3216,0.2264,0.452,56.52
0.0892,0.7922,0.1187,51.47
0.2424,0.5638,0.1938,47.57
0.0842,0.7493,0.1665,54.12
0.0188,0.069,0.9122,94.67
0.1857,0.7478,0.0665,44.04
0.0186,0.0536,0.9278,95.46
0.0531,0.9213,0.0256,48.63
